Cost (£m)
0.000000000000000000e+00
1.856805044917251798e+05
2.248121502958554629e+03
3.697426054451386153e+04
5.084187396386056935e+04
1.695560003415843084e+03
-3.662850970818491305e+02
1.069708869574656774e+03
0.000000000000000000e+00
0.000000000000000000e+00
4.478118778289423790e+04
1.221736496380568278e+05
4.525100437031555884e+03
0.000000000000000000e+00
0.000000000000000000e+00
2.673686507360125324e+04
1.463656604236367912e+03
6.386106227984805446e+04
2.533638192657950640e+03
3.421960601691224292e+04
0.000000000000000000e+00
8.833396882706581891e+03
4.883478313059146785e+03
0.000000000000000000e+00
2.236296057984652634e+03
9.238158381639610525e+03
8.289075293859721569e+04
0.000000000000000000e+00
4.914375621343700914e+03
2.874242910170192044e+04
0.000000000000000000e+00
3.302466099160097656e+03
2.157651374533340640e+04
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
3.884804677735317000e+03
3.567944122107296153e+03
5.884028456724475291e+03
1.265610367830880386e+04
8.483842034172482727e+02
1.346125287777264748e+04
1.967225044492245070e+04
0.000000000000000000e+00
2.454617922972498491e+03
0.000000000000000000e+00
0.000000000000000000e+00
2.926843304012578301e+04
3.985075296778092161e+04
1.013849906193105198e+04
0.000000000000000000e+00
3.319714647263204097e+04
0.000000000000000000e+00
1.662795267463095297e+04
7.843184862974605949e+02
8.807539633671789488e+04
-3.379647408709971046e+01
0.000000000000000000e+00
2.833304539676706918e+04
0.000000000000000000e+00
-9.086081679541397534e+03
4.301935762409135932e+05
1.099945351358293738e+04
-3.260275555012973928e+04
7.573242287269059489e+03
1.147333360330110881e+05
5.549079136619102428e+03
0.000000000000000000e+00
0.000000000000000000e+00
3.486609098515143705e+04
0.000000000000000000e+00
1.648825390616334698e+04
1.741709414981665532e+03
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
3.317399111693038139e+04
4.888092218720192250e+03
1.486159633687430505e+04
1.119829813770730470e+04
1.624506298696910962e+05
4.404460452782745415e+04
1.227829644825697642e+03
1.083537411268264259e+04
4.350854795218954223e+02
0.000000000000000000e+00
7.422796440811187495e+03
1.766165308005496918e+05
8.010656676663761573e+03
0.000000000000000000e+00
0.000000000000000000e+00
1.686170714619121327e+03
1.278565479917943321e+03
0.000000000000000000e+00
6.724958242730415805e+03
2.232492712756654782e+03
6.411640335952848545e+03
1.904969322447672766e+03
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
4.164276389007570288e+03
8.952293522454438062e+03
4.353562620656715444e+04
-3.838568206405853562e+04
3.253078365298125846e+03
0.000000000000000000e+00
9.881706057092473202e+03
4.845944897018841402e+03
3.058217531374428745e+03
0.000000000000000000e+00
2.534458139623746149e+02
0.000000000000000000e+00
3.488058161650708644e+04
0.000000000000000000e+00
1.111795055002685331e+03
8.590078989236813504e+04
6.161257832106630303e+02
0.000000000000000000e+00
4.412796347145802429e+04
7.724794835987463557e+03
0.000000000000000000e+00
5.687788885893098268e+03
1.180411491315969897e+03
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
1.184603261784720598e+04
9.261676522202567139e+04
0.000000000000000000e+00
8.340842957544948149e+04
5.580656286091580841e+04
1.014135488342977333e+05
5.679670432845182950e+04
0.000000000000000000e+00
2.779125233881551935e+02
4.382412552110363322e+04
5.114879243949704914e+02
0.000000000000000000e+00
0.000000000000000000e+00
1.317208093166268191e+04
9.061902232704462222e+03
0.000000000000000000e+00
0.000000000000000000e+00
1.383410537595121714e+05
3.967189420025884829e+03
1.221994432658704000e+03
2.793003299814573438e+03
0.000000000000000000e+00
5.453804767488244210e+01
8.413893778724015647e+03
0.000000000000000000e+00
1.530694998383518396e+04
4.127953894443919125e+03
0.000000000000000000e+00
3.157717767172123331e+03
1.160419121951179477e+04
1.450392724358967371e+03
0.000000000000000000e+00
0.000000000000000000e+00
2.018977103260315744e+03
3.449471501236307176e+03
4.747945548861390125e+04
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
2.089588685819868406e+05
0.000000000000000000e+00
5.492199093621363136e+04
2.724410298806871288e+04
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
1.510604350954284200e+04
2.535552003019674885e+03
1.153977139641355643e+04
0.000000000000000000e+00
6.872400099922516347e+03
1.124334877874505946e+04
0.000000000000000000e+00
0.000000000000000000e+00
8.717055079410874896e+02
3.364431007904711350e+03
3.391779650182194814e+02
1.769973614881149115e+04
0.000000000000000000e+00
3.229231064187817992e+03
0.000000000000000000e+00
0.000000000000000000e+00
9.511411331064677142e+03
5.910433008783778860e+03
0.000000000000000000e+00
1.218713083080291835e+04
0.000000000000000000e+00
6.341154915656585217e+03
0.000000000000000000e+00
8.061298394605016711e+02
4.449117196517949196e+04
3.745512346728393368e+03
-9.871675337683302132e+03
5.123558822298852465e+04
2.176204075401424416e+04
0.000000000000000000e+00
0.000000000000000000e+00
6.212623573353656866e+03
5.186212627966478613e+04
6.338066503714893042e+04
0.000000000000000000e+00
7.598370630138389060e+03
1.373815701033394544e+04
2.246564277681924432e+04
-3.172457302726153898e+02
0.000000000000000000e+00
3.343811090848968888e+04
